package	version	architecture	status
acl	2.3.1-1	arm64	install ok installed
adduser	3.118ubuntu5	all	install ok installed
adwaita-icon-theme	41.0-1ubuntu1	all	install ok installed
apparmor	3.0.4-2ubuntu2.5	arm64	install ok installed
apt	2.4.14	arm64	install ok installed
arj	3.10.22-25	arm64	install ok installed
arping	2.22-1	arm64	install ok installed
at-spi2-core	2.44.0-3	arm64	install ok installed
base-files	12ubuntu4.7	arm64	install ok installed
base-passwd	3.5.52build1	arm64	install ok installed
bash	5.1-6ubuntu1.1	arm64	install ok installed
bash-static	5.1-6ubuntu1.1	arm64	install ok installed
bc	1.07.1-3build1	arm64	install ok installed
binutils	2.38-4ubuntu2.12	arm64	install ok installed
binutils-aarch64-linux-gnu	2.38-4ubuntu2.12	arm64	install ok installed
binutils-common	2.38-4ubuntu2.12	arm64	install ok installed
binwalk	2.3.3+dfsg1-2	all	install ok installed
bridge-utils	1.7-1ubuntu3	arm64	install ok installed
bsdutils	1:2.37.2-4ubuntu3.5	arm64	install ok installed
build-essential	12.9ubuntu3	arm64	install ok installed
busybox-initramfs	1:1.30.1-7ubuntu3.1	arm64	install ok installed
busybox-static	1:1.30.1-7ubuntu3.1	arm64	install ok installed
bzip2	1.0.8-5build1	arm64	install ok installed
ca-certificates	20240203~22.04.1	all	install ok installed
ca-certificates-java	20190909ubuntu1.3	all	install ok installed
cabextract	1.9-3	arm64	install ok installed
containerd	2.2.1-0ubuntu1~22.04.1	arm64	install ok installed
coreutils	8.32-4.1ubuntu1.3	arm64	install ok installed
cpio	2.13+dfsg-7ubuntu0.1	arm64	install ok installed
cpp	4:11.2.0-1ubuntu1	arm64	install ok installed
cpp-11	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
cramfsswap	1.4.2	arm64	install ok installed
curl	7.81.0-1ubuntu1.24	arm64	install ok installed
dash	0.5.11+git20210903+057cd650a4ed-3build1	arm64	install ok installed
dbus	1.12.20-2ubuntu4.1	arm64	install ok installed
dbus-user-session	1.12.20-2ubuntu4.1	arm64	install ok installed
dconf-gsettings-backend	0.40.0-3ubuntu0.1	arm64	install ok installed
dconf-service	0.40.0-3ubuntu0.1	arm64	install ok installed
debconf	1.5.79ubuntu1	all	install ok installed
debianutils	5.5-1ubuntu2	arm64	install ok installed
default-jdk	2:1.11-72build2	arm64	install ok installed
default-jdk-headless	2:1.11-72build2	arm64	install ok installed
default-jre	2:1.11-72build2	arm64	install ok installed
default-jre-headless	2:1.11-72build2	arm64	install ok installed
device-tree-compiler	1.6.1-1	arm64	install ok installed
devio	1.2-1.2build3	arm64	install ok installed
diffutils	1:3.8-0ubuntu2	arm64	install ok installed
dirmngr	2.2.27-3ubuntu2.5	arm64	install ok installed
dmsetup	2:1.02.175-2.1ubuntu5	arm64	install ok installed
dns-root-data	2024071801~ubuntu0.22.04.1	all	install ok installed
dnsmasq-base	2.90-0ubuntu0.22.04.3	arm64	install ok installed
docker.io	29.1.3-0ubuntu3~22.04.2	arm64	install ok installed
dpkg	1.21.1ubuntu2.6	arm64	install ok installed
dpkg-dev	1.21.1ubuntu2.6	all	install ok installed
e2fsprogs	1.46.5-2ubuntu1.2	arm64	install ok installed
fakeroot	1.28-1ubuntu1	arm64	install ok installed
fdisk	2.37.2-4ubuntu3.5	arm64	install ok installed
file	1:5.41-3ubuntu0.1	arm64	install ok installed
findutils	4.8.0-1ubuntu3	arm64	install ok installed
flash-kernel	3.104ubuntu22	arm64	install ok installed
fontconfig	2.13.1-4.2ubuntu5	arm64	install ok installed
fontconfig-config	2.13.1-4.2ubuntu5	all	install ok installed
fonts-dejavu-core	2.37-2build1	all	install ok installed
fonts-dejavu-extra	2.37-2build1	all	install ok installed
fonts-lato	2.0-2.1	all	install ok installed
fusecram	20051104-0ubuntu4	arm64	install ok installed
g++	4:11.2.0-1ubuntu1	arm64	install ok installed
g++-11	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
gcc	4:11.2.0-1ubuntu1	arm64	install ok installed
gcc-11	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
gcc-11-base	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
gcc-12-base	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
gir1.2-glib-2.0	1.72.0-1	arm64	install ok installed
git	1:2.34.1-1ubuntu1.17	arm64	install ok installed
git-man	1:2.34.1-1ubuntu1.17	all	install ok installed
gnupg	2.2.27-3ubuntu2.5	all	install ok installed
gnupg-l10n	2.2.27-3ubuntu2.5	all	install ok installed
gnupg-utils	2.2.27-3ubuntu2.5	arm64	install ok installed
gpg	2.2.27-3ubuntu2.5	arm64	install ok installed
gpg-agent	2.2.27-3ubuntu2.5	arm64	install ok installed
gpg-wks-client	2.2.27-3ubuntu2.5	arm64	install ok installed
gpg-wks-server	2.2.27-3ubuntu2.5	arm64	install ok installed
gpgconf	2.2.27-3ubuntu2.5	arm64	install ok installed
gpgsm	2.2.27-3ubuntu2.5	arm64	install ok installed
gpgv	2.2.27-3ubuntu2.5	arm64	install ok installed
grep	3.7-1build1	arm64	install ok installed
gsettings-desktop-schemas	42.0-1ubuntu1	all	install ok installed
gtk-update-icon-cache	3.24.33-1ubuntu2.2	arm64	install ok installed
gzip	1.10-4ubuntu4.1	arm64	install ok installed
hicolor-icon-theme	0.17-2	all	install ok installed
hostname	3.23ubuntu2	arm64	install ok installed
humanity-icon-theme	0.6.16	all	install ok installed
init-system-helpers	1.62	all	install ok installed
initramfs-tools	0.140ubuntu13.5	all	install ok installed
initramfs-tools-bin	0.140ubuntu13.5	arm64	install ok installed
initramfs-tools-core	0.140ubuntu13.5	all	install ok installed
iproute2	5.15.0-1ubuntu2.1	arm64	install ok installed
iptables	1.8.7-1ubuntu5.2	arm64	install ok installed
iputils-ping	3:20211215-1ubuntu0.1	arm64	install ok installed
ipxe-qemu	1.21.1+git-20220113.fbbdc3926-0ubuntu1	all	install ok installed
ipxe-qemu-256k-compat-efi-roms	1.0.0+git-20150424.a25a16d-0ubuntu4	all	install ok installed
iso-codes	4.9.0-1	all	install ok installed
java-common	0.72build2	all	install ok installed
javascript-common	11+nmu1	all	install ok installed
klibc-utils	2.0.10-4ubuntu0.2	arm64	install ok installed
kmod	29-1ubuntu1.1	arm64	install ok installed
kpartx	0.8.8-1ubuntu1.22.04.4	arm64	install ok installed
lhasa	0.3.1-4	arm64	install ok installed
libacl1	2.3.1-1	arm64	install ok installed
libafflib0v5	3.7.19-2build1	arm64	install ok installed
libaio1	0.3.112-13build1	arm64	install ok installed
libalgorithm-diff-perl	1.201-1	all	install ok installed
libalgorithm-diff-xs-perl	0.04-6build3	arm64	install ok installed
libalgorithm-merge-perl	0.08-3	all	install ok installed
libapparmor1	3.0.4-2ubuntu2.5	arm64	install ok installed
libapt-pkg6.0	2.4.14	arm64	install ok installed
libargon2-1	0~20171227-0.3	arm64	install ok installed
libasan6	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
libasound2	1.2.6.1-1ubuntu1.1	arm64	install ok installed
libasound2-data	1.2.6.1-1ubuntu1.1	all	install ok installed
libassuan0	2.5.5-1build1	arm64	install ok installed
libasyncns0	0.8-6build2	arm64	install ok installed
libatk-bridge2.0-0	2.38.0-3	arm64	install ok installed
libatk-wrapper-java	0.38.0-5build1	all	install ok installed
libatk-wrapper-java-jni	0.38.0-5build1	arm64	install ok installed
libatk1.0-0	2.36.0-3build1	arm64	install ok installed
libatk1.0-data	2.36.0-3build1	all	install ok installed
libatomic1	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libatspi2.0-0	2.44.0-3	arm64	install ok installed
libattr1	1:2.5.1-1build1	arm64	install ok installed
libaudit-common	1:3.0.7-1build1	all	install ok installed
libaudit1	1:3.0.7-1build1	arm64	install ok installed
libavahi-client3	0.8-5ubuntu5.5	arm64	install ok installed
libavahi-common-data	0.8-5ubuntu5.5	arm64	install ok installed
libavahi-common3	0.8-5ubuntu5.5	arm64	install ok installed
libbfio1	20170123-6	arm64	install ok installed
libbinutils	2.38-4ubuntu2.12	arm64	install ok installed
libblas3	3.10.0-2ubuntu1	arm64	install ok installed
libblkid1	2.37.2-4ubuntu3.5	arm64	install ok installed
libbpf0	1:0.5.0-1ubuntu22.04.1	arm64	install ok installed
libbrlapi0.8	6.4-4ubuntu3	arm64	install ok installed
libbrotli1	1.0.9-2build6	arm64	install ok installed
libbsd0	0.11.5-1	arm64	install ok installed
libbz2-1.0	1.0.8-5build1	arm64	install ok installed
libc-bin	2.35-0ubuntu3.13	arm64	install ok installed
libc-dev-bin	2.35-0ubuntu3.13	arm64	install ok installed
libc6	2.35-0ubuntu3.13	arm64	install ok installed
libc6-dev	2.35-0ubuntu3.13	arm64	install ok installed
libcacard0	1:2.8.0-3build2	arm64	install ok installed
libcairo-gobject2	1.16.0-5ubuntu2.1	arm64	install ok installed
libcairo2	1.16.0-5ubuntu2.1	arm64	install ok installed
libcap-ng0	0.7.9-2.2build3	arm64	install ok installed
libcap2	1:2.44-1ubuntu0.22.04.3	arm64	install ok installed
libcap2-bin	1:2.44-1ubuntu0.22.04.3	arm64	install ok installed
libcc1-0	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libcolord2	1.4.6-1	arm64	install ok installed
libcom-err2	1.46.5-2ubuntu1.2	arm64	install ok installed
libcrypt-dev	1:4.4.27-1	arm64	install ok installed
libcrypt1	1:4.4.27-1	arm64	install ok installed
libcryptsetup12	2:2.4.3-1ubuntu1.3	arm64	install ok installed
libctf-nobfd0	2.38-4ubuntu2.12	arm64	install ok installed
libctf0	2.38-4ubuntu2.12	arm64	install ok installed
libcups2	2.4.1op1-1ubuntu4.20	arm64	install ok installed
libcurl3-gnutls	7.81.0-1ubuntu1.24	arm64	install ok installed
libcurl4	7.81.0-1ubuntu1.24	arm64	install ok installed
libdate-manip-perl	6.86-1	all	install ok installed
libdatrie1	0.2.13-2	arm64	install ok installed
libdaxctl1	72.1-1	arm64	install ok installed
libdb5.3	5.3.28+dfsg1-0.8ubuntu3	arm64	install ok installed
libdbus-1-3	1.12.20-2ubuntu4.1	arm64	install ok installed
libdconf1	0.40.0-3ubuntu0.1	arm64	install ok installed
libdebconfclient0	0.261ubuntu1	arm64	install ok installed
libdeflate0	1.10-2	arm64	install ok installed
libdevmapper1.02.1	2:1.02.175-2.1ubuntu5	arm64	install ok installed
libdouble-conversion3	3.1.7-4	arm64	install ok installed
libdpkg-perl	1.21.1ubuntu2.6	all	install ok installed
libdrm-amdgpu1	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdrm-common	2.4.113-2~ubuntu0.22.04.1	all	install ok installed
libdrm-nouveau2	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdrm-radeon1	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdrm2	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdw1	0.186-1ubuntu0.1	arm64	install ok installed
libedit2	3.1-20210910-1build1	arm64	install ok installed
libegl-dev	1.4.0-1	arm64	install ok installed
libegl-mesa0	23.2.1-1ubuntu3.1~22.04.3	arm64	install ok installed
libegl1	1.4.0-1	arm64	install ok installed
libelf1	0.186-1ubuntu0.1	arm64	install ok installed
libepoxy0	1.5.10-1	arm64	install ok installed
liberror-perl	0.17029-1	all	install ok installed
libevdev2	1.12.1+dfsg-1	arm64	install ok installed
libewf2	20140807-2ubuntu2	arm64	install ok installed
libexpat1	2.4.7-1ubuntu0.7	arm64	install ok installed
libext2fs2	1.46.5-2ubuntu1.2	arm64	install ok installed
libfakeroot	1.28-1ubuntu1	arm64	install ok installed
libfdisk1	2.37.2-4ubuntu3.5	arm64	install ok installed
libfdt1	1.6.1-1	arm64	install ok installed
libffi8	3.4.2-4	arm64	install ok installed
libfile-fcntllock-perl	0.22-3build7	arm64	install ok installed
libflac8	1.3.3-2ubuntu0.2	arm64	install ok installed
libfontconfig1	2.13.1-4.2ubuntu5	arm64	install ok installed
libfontenc1	1:1.1.4-1build3	arm64	install ok installed
libfreetype6	2.11.1+dfsg-1ubuntu0.3	arm64	install ok installed
libfribidi0	1.0.8-2ubuntu3.1	arm64	install ok installed
libfuse2	2.9.9-5ubuntu3	arm64	install ok installed
libfuse3-3	3.10.5-1build1	arm64	install ok installed
