package	version	architecture	status
arping	2.22-1	arm64	install ok installed
bash-static	5.1-6ubuntu1.1	arm64	install ok installed
binwalk	2.3.3+dfsg1-2	all	install ok installed
busybox-static	1:1.30.1-7ubuntu3.1	arm64	install ok installed
ca-certificates	20240203~22.04.1	all	install ok installed
curl	7.81.0-1ubuntu1.24	arm64	install ok installed
dmsetup	2:1.02.175-2.1ubuntu5	arm64	install ok installed
e2fsprogs	1.46.5-2ubuntu1.2	arm64	install ok installed
fakeroot	1.28-1ubuntu1	arm64	install ok installed
fdisk	2.37.2-4ubuntu3.5	arm64	install ok installed
git	1:2.34.1-1ubuntu1.17	arm64	install ok installed
iproute2	5.15.0-1ubuntu2.1	arm64	install ok installed
iputils-ping	3:20211215-1ubuntu0.1	arm64	install ok installed
kpartx	0.8.8-1ubuntu1.22.04.4	arm64	install ok installed
liblzma-dev	5.2.5-2ubuntu1.1	arm64	install ok installed
liblzo2-dev	2.10-2build3	arm64	install ok installed
mtd-utils	1:2.1.4-1	arm64	install ok installed
net-tools	1.60+git20181103.0eebece-1ubuntu5.4	arm64	install ok installed
netcat-openbsd	1.218-4ubuntu1	arm64	install ok installed
nmap	7.91+dfsg1+really7.80+dfsg1-2ubuntu0.1	arm64	install ok installed
p7zip-full	16.02+dfsg-8	arm64	install ok installed
postgresql	14+238	all	install ok installed
postgresql-client	14+238	all	install ok installed
python3	3.10.6-1~22.04.1	arm64	install ok installed
python3-pip	22.0.2+dfsg-1ubuntu0.7	all	install ok installed
python3-psycopg2	2.9.2-1build2	arm64	install ok installed
qemu-system-arm	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qemu-system-mips	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qemu-system-x86	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
qemu-utils	1:6.2+dfsg-2ubuntu6.30	arm64	install ok installed
snmp	5.9.1+dfsg-1ubuntu2.9	arm64	install ok installed
sudo	1.9.9-1ubuntu2.6	arm64	install ok installed
uml-utilities	20070815.4-1	arm64	install ok installed
unzip	6.0-26ubuntu3.2	arm64	install ok installed
util-linux	2.37.2-4ubuntu3.5	arm64	install ok installed
vlan	2.0.5ubuntu5	all	install ok installed
wget	1.21.2-2ubuntu1.1	arm64	install ok installed
zlib1g-dev	1:1.2.11.dfsg-2ubuntu9.2	arm64	install ok installed
