arping	2.22-1	amd64
bash-static	5.1-6ubuntu1.1	amd64
binwalk	2.3.3+dfsg1-2	all
busybox-static	1:1.30.1-7ubuntu3.1	amd64
ca-certificates	20240203~22.04.1	all
curl	7.81.0-1ubuntu1.24	amd64
dmsetup	2:1.02.175-2.1ubuntu5	amd64
e2fsprogs	1.46.5-2ubuntu1.2	amd64
fakeroot	1.28-1ubuntu1	amd64
fdisk	2.37.2-4ubuntu3.5	amd64
git	1:2.34.1-1ubuntu1.17	amd64
iproute2	5.15.0-1ubuntu2.1	amd64
iputils-ping	3:20211215-1ubuntu0.1	amd64
kpartx	0.8.8-1ubuntu1.22.04.4	amd64
liblzma-dev:amd64	5.2.5-2ubuntu1.1	amd64
liblzo2-dev:amd64	2.10-2build3	amd64
mtd-utils	1:2.1.4-1	amd64
net-tools	1.60+git20181103.0eebece-1ubuntu5.4	amd64
netcat-openbsd	1.218-4ubuntu1	amd64
nmap	7.91+dfsg1+really7.80+dfsg1-2ubuntu0.1	amd64
p7zip-full	16.02+dfsg-8	amd64
postgresql	14+238	all
postgresql-client	14+238	all
python3	3.10.6-1~22.04.1	amd64
python3-magic	2:0.4.24-2	all
python3-pip	22.0.2+dfsg-1ubuntu0.7	all
python3-psycopg2	2.9.2-1build2	amd64
qemu-system-arm	1:6.2+dfsg-2ubuntu6.30	amd64
qemu-system-mips	1:6.2+dfsg-2ubuntu6.30	amd64
qemu-system-x86	1:6.2+dfsg-2ubuntu6.30	amd64
qemu-utils	1:6.2+dfsg-2ubuntu6.30	amd64
snmp	5.9.1+dfsg-1ubuntu2.9	amd64
squashfs-tools	1:4.5-3build1	amd64
sudo	1.9.9-1ubuntu2.6	amd64
uml-utilities	20070815.4-1	amd64
unzip	6.0-26ubuntu3.2	amd64
util-linux	2.37.2-4ubuntu3.5	amd64
vlan	2.0.5ubuntu5	all
wget	1.21.2-2ubuntu1.1	amd64
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2	amd64
