acl	2.3.1-1	amd64
adduser	3.118ubuntu5	all
apt	2.4.14	amd64
arping	2.22-1	amd64
base-files	12ubuntu4.7	amd64
base-passwd	3.5.52build1	amd64
bash	5.1-6ubuntu1.1	amd64
bash-static	5.1-6ubuntu1.1	amd64
binwalk	2.3.3+dfsg1-2	all
bsdutils	1:2.37.2-4ubuntu3.5	amd64
busybox-static	1:1.30.1-7ubuntu3.1	amd64
ca-certificates	20240203~22.04.1	all
coreutils	8.32-4.1ubuntu1.3	amd64
curl	7.81.0-1ubuntu1.24	amd64
dash	0.5.11+git20210903+057cd650a4ed-3build1	amd64
debconf	1.5.79ubuntu1	all
debianutils	5.5-1ubuntu2	amd64
diffutils	1:3.8-0ubuntu2	amd64
dmsetup	2:1.02.175-2.1ubuntu5	amd64
dpkg	1.21.1ubuntu2.6	amd64
e2fsprogs	1.46.5-2ubuntu1.2	amd64
fakeroot	1.28-1ubuntu1	amd64
fdisk	2.37.2-4ubuntu3.5	amd64
findutils	4.8.0-1ubuntu3	amd64
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3	amd64
git	1:2.34.1-1ubuntu1.17	amd64
git-man	1:2.34.1-1ubuntu1.17	all
gpgv	2.2.27-3ubuntu2.5	amd64
grep	3.7-1build1	amd64
gzip	1.10-4ubuntu4.1	amd64
hostname	3.23ubuntu2	amd64
init-system-helpers	1.62	all
iproute2	5.15.0-1ubuntu2.1	amd64
iputils-ping	3:20211215-1ubuntu0.1	amd64
ipxe-qemu	1.21.1+git-20220113.fbbdc3926-0ubuntu1	all
ipxe-qemu-256k-compat-efi-roms	1.0.0+git-20150424.a25a16d-0ubuntu4	all
iso-codes	4.9.0-1	all
kpartx	0.8.8-1ubuntu1.22.04.4	amd64
libacl1:amd64	2.3.1-1	amd64
libaio1:amd64	0.3.112-13build1	amd64
libapt-pkg6.0:amd64	2.4.14	amd64
libasound2-data	1.2.6.1-1ubuntu1.1	all
libasound2:amd64	1.2.6.1-1ubuntu1.1	amd64
libattr1:amd64	1:2.5.1-1build1	amd64
libaudit-common	1:3.0.7-1build1	all
libaudit1:amd64	1:3.0.7-1build1	amd64
libblas3:amd64	3.10.0-2ubuntu1	amd64
libblkid1:amd64	2.37.2-4ubuntu3.5	amd64
libbpf0:amd64	1:0.5.0-1ubuntu22.04.1	amd64
libbrlapi0.8:amd64	6.4-4ubuntu3	amd64
libbrotli1:amd64	1.0.9-2build6	amd64
libbsd0:amd64	0.11.5-1	amd64
libbz2-1.0:amd64	1.0.8-5build1	amd64
libc-bin	2.35-0ubuntu3.13	amd64
libc-dev-bin	2.35-0ubuntu3.13	amd64
libc6-dev:amd64	2.35-0ubuntu3.13	amd64
libc6:amd64	2.35-0ubuntu3.13	amd64
libcacard0:amd64	1:2.8.0-3build2	amd64
libcap-ng0:amd64	0.7.9-2.2build3	amd64
libcap2-bin	1:2.44-1ubuntu0.22.04.3	amd64
libcap2:amd64	1:2.44-1ubuntu0.22.04.3	amd64
libcom-err2:amd64	1.46.5-2ubuntu1.2	amd64
libcrypt-dev:amd64	1:4.4.27-1	amd64
libcrypt1:amd64	1:4.4.27-1	amd64
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.24	amd64
libcurl4:amd64	7.81.0-1ubuntu1.24	amd64
libdaxctl1:amd64	72.1-1	amd64
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3	amd64
libdbus-1-3:amd64	1.12.20-2ubuntu4.1	amd64
libdebconfclient0:amd64	0.261ubuntu1	amd64
libdevmapper1.02.1:amd64	2:1.02.175-2.1ubuntu5	amd64
libdrm-common	2.4.113-2~ubuntu0.22.04.1	all
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1	amd64
libdw1:amd64	0.186-1ubuntu0.1	amd64
libedit2:amd64	3.1-20210910-1build1	amd64
libelf1:amd64	0.186-1ubuntu0.1	amd64
libepoxy0:amd64	1.5.10-1	amd64
liberror-perl	0.17029-1	all
libexpat1:amd64	2.4.7-1ubuntu0.7	amd64
libext2fs2:amd64	1.46.5-2ubuntu1.2	amd64
libfakeroot:amd64	1.28-1ubuntu1	amd64
libfdisk1:amd64	2.37.2-4ubuntu3.5	amd64
libfdt1:amd64	1.6.1-1	amd64
libffi8:amd64	3.4.2-4	amd64
libfuse2:amd64	2.9.9-5ubuntu3	amd64
libfuse3-3:amd64	3.10.5-1build1	amd64
libgbm1:amd64	23.2.1-1ubuntu3.1~22.04.3	amd64
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libgcrypt20:amd64	1.9.4-3ubuntu3	amd64
libgdbm-compat4:amd64	1.23-1	amd64
libgdbm6:amd64	1.23-1	amd64
libglib2.0-0:amd64	2.72.4-0ubuntu2.9	amd64
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1	amd64
libgnutls30:amd64	3.7.3-4ubuntu1.8	amd64
libgpg-error0:amd64	1.43-3	amd64
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.7	amd64
libgstreamer-plugins-base1.0-0:amd64	1.20.1-1ubuntu0.6	amd64
libgstreamer1.0-0:amd64	1.20.3-0ubuntu1.1	amd64
libhogweed6:amd64	3.7.3-1build2	amd64
libibverbs1:amd64	39.0-1	amd64
libicu70:amd64	70.1-2	amd64
libidn2-0:amd64	2.3.2-2build1	amd64
libiniparser1:amd64	4.1-4ubuntu4.2	amd64
libjpeg-turbo8:amd64	2.1.2-0ubuntu1	amd64
libjpeg8:amd64	8c-2ubuntu10	amd64
libjson-perl	4.04000-1	all
libk5crypto3:amd64	1.19.2-2ubuntu0.7	amd64
libkeyutils1:amd64	1.6.1-2ubuntu3	amd64
libkmod2:amd64	29-1ubuntu1.1	amd64
libkrb5-3:amd64	1.19.2-2ubuntu0.7	amd64
libkrb5support0:amd64	1.19.2-2ubuntu0.7	amd64
libldap-2.5-0:amd64	2.5.20+dfsg-0ubuntu0.22.04.1	amd64
liblinear4:amd64	2.3.0+dfsg-5	amd64
libllvm14:amd64	1:14.0.0-1ubuntu1.1	amd64
liblua5.3-0:amd64	5.3.6-1build1	amd64
liblz4-1:amd64	1.9.3-2build2	amd64
liblzma-dev:amd64	5.2.5-2ubuntu1.1	amd64
liblzma5:amd64	5.2.5-2ubuntu1.1	amd64
liblzo2-2:amd64	2.10-2build3	amd64
liblzo2-dev:amd64	2.10-2build3	amd64
libmagic-mgc	1:5.41-3ubuntu0.1	amd64
libmagic1:amd64	1:5.41-3ubuntu0.1	amd64
libmd0:amd64	1.0.4-1build1	amd64
libmnl0:amd64	1.0.4-3build2	amd64
libmount1:amd64	2.37.2-4ubuntu3.5	amd64
libmpdec3:amd64	2.5.1-2build2	amd64
libncurses6:amd64	6.3-2ubuntu0.1	amd64
libncursesw6:amd64	6.3-2ubuntu0.1	amd64
libndctl6:amd64	72.1-1	amd64
libnet1:amd64	1.1.6+dfsg-3.1build3	amd64
libnettle8:amd64	3.7.3-1build2	amd64
libnghttp2-14:amd64	1.43.0-1ubuntu0.3	amd64
libnl-3-200:amd64	3.5.0-0.1	amd64
libnl-route-3-200:amd64	3.5.0-0.1	amd64
libnsl-dev:amd64	1.3.0-2build2	amd64
libnsl2:amd64	1.3.0-2build2	amd64
libnspr4:amd64	2:4.35-0ubuntu0.22.04.1	amd64
libnss3:amd64	2:3.98-0ubuntu0.22.04.3	amd64
libnuma1:amd64	2.0.14-3ubuntu2	amd64
libopus0:amd64	1.3.1-0.1build2	amd64
liborc-0.4-0:amd64	1:0.4.32-2ubuntu0.1	amd64
libp11-kit0:amd64	0.24.0-6build1	amd64
